time,name,changed,code,error,ms,since,status,url
2026-09-24T07:55:33.928Z,n8n website,False,200,,10065,2026-09-24T07:55:33.927Z,UP,https://n8n.io
2026-09-24T07:55:33.928Z,GitHub API,False,200,,10066,2026-09-24T07:55:33.928Z,UP,https://api.github.com
2026-09-24T07:55:33.928Z,Demo: always down,False,0,timeout of 10000ms exceeded,10066,2026-09-24T07:55:33.928Z,DOWN,https://httpstat.us/503
